psraid;usr_r;sex;q10c;q14a;q14b;q14c;q14d;q14e;q14g;q14h;q17a;q17b;q17c;q17d;q17e;q17f;q17g;q18;q20;q22a;q22b;q22c;q22d;q22e;q24;q25;q26;q29;age;mar;educ;empl;inc;mobileprice
100169;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;84;5;2;3;7;112
100171;2;2;1;2;1;1;1;2;2;2; ; ; ; ; ; ; ;4;0;1;1;2;2;1;2;2; ; ;59;3;6;4;6;112,1
100172;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;1;113,3
100180;1;2;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;0; ;2;2;1;2;1;2;2; ; ;30;1;5;1; ;113,3
100183;1;2;1;2;2;1;2;2;1;2; ; ; ; ; ; ; ;0; ;1;1;1;1;1;2;1;8; ;59;1;5;3;1;113,8
100187;2;2;1;2;1;1;2;2;1;2; ; ; ; ; ; ; ;4;30;1;1;1;2;1;2;2; ; ;18;6;3;4; ;113,9
100190;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;2;2;2;1;2;2; ; ;77;1;3;3; ;114,2
100192;2;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;4;0;1;1; ;2;2;2; ; ; ;63;1;7;3; ;114,6
100196;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;1;2;2;1;2;2; ; ;88;5;6;3;6;115,1
100199;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;2; ;1;1;1;2;1;2; ; ; ;76;1;3;2;5;115,2
100200;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;3;1;2;1;2; ; ; ;64;6;5;3;4;115,5
100203;3;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;5; ;1;1;2;2;1;2;2; ; ;47;1;6;1;9;115,6
